case,solver,N,k,h,beta_max,delta1,delta2,delta3,err_u,rate_u,err_p,rate_p,err_lambda,rate_lambda,time_s,cond_local_max
delta1_delta2,hybrid,4,2,0.3535533905932738,0.0,-0.5,0.5,0.0,0.047838201711267986,,0.0031972793620135063,,0.011847712944492111,,0.019070148468017578,6715.525424537288
delta1_delta2,hybrid,8,2,0.1767766952966369,0.0,-0.5,0.5,0.0,0.0105258104293225,2.184231840993214,0.00039106143671965474,3.0313776235701284,0.0020286132728072836,2.5460428249658884,0.07401490211486816,26764.064896066466
delta1_delta2,hybrid,16,2,0.08838834764831845,0.0,-0.5,0.5,0.0,0.002418569948065845,2.121705149082042,4.8269017818860904e-05,3.0182259001595115,0.00035132080278266875,2.5296329507563855,0.3035604953765869,106958.0428621084
delta1_delta2,hybrid,4,3,0.3535533905932738,0.0,-0.5,0.5,0.0,0.0032963928088681578,,0.000298591935036426,,0.001107016186436848,,0.022074460983276367,35299.331084387566
delta1_delta2,hybrid,8,3,0.1767766952966369,0.0,-0.5,0.5,0.0,0.0003566727105189988,3.2082154262751112,1.8507036487191196e-05,4.012029397292543,9.832597275456722e-05,3.492959952622715,0.08331727981567383,141184.53967049
delta1_delta2,hybrid,16,3,0.08838834764831845,0.0,-0.5,0.5,0.0,4.102349431143423e-05,3.1200785491289076,1.1470185463264147e-06,4.012113272600709,8.659112049174678e-06,3.5052815579282104,0.35465073585510254,564725.3598083134
delta1_delta2,hybrid,4,4,0.3535533905932738,0.0,-0.5,0.5,0.0,0.00022291514666788063,,2.2055506771044695e-05,,8.543324926596364e-05,,0.025624513626098633,141654.16318318574
delta1_delta2,hybrid,8,4,0.1767766952966369,0.0,-0.5,0.5,0.0,1.2282640796528841e-05,4.181801966379641,7.003826703536949e-07,4.976851712049357,3.8304288822329935e-06,4.479219812397373,0.10698676109313965,566583.3459883269
delta1_delta2,hybrid,16,4,0.08838834764831845,0.0,-0.5,0.5,0.0,7.198431957980724e-07,4.09279428964713,2.1975639852863633e-08,4.994166310182295,1.6981927476566035e-07,4.495433814110887,0.40002918243408203,2266300.0336346305
delta1_delta2,hybrid,4,5,0.3535533905932738,0.0,-0.5,0.5,0.0,1.2714424961223912e-05,,1.350931173857203e-06,,5.574842421669318e-06,,0.030358552932739258,493323.310991819
delta1_delta2,hybrid,8,5,0.1767766952966369,0.0,-0.5,0.5,0.0,3.406691494073478e-07,5.2219510995109,2.134304859703373e-08,5.98404410259222,1.2445004656091034e-07,5.485292351242004,0.11840462684631348,1973247.8602968915
delta1_delta2,hybrid,16,5,0.08838834764831845,0.0,-0.5,0.5,0.0,9.811690227265775e-09,5.117725808245382,3.3403716551714676e-10,5.99761382401817,2.75353291686996e-09,5.498139104689706,0.4975745677947998,7892946.027823375
delta1_delta2_delta3,hybrid,4,1,0.3535533905932738,0.0,-0.5,0.5,0.5,0.3977680293959994,,0.035647739145522515,,0.18790361382955817,,0.01910710334777832,784.6602803877821
delta1_delta2_delta3,hybrid,8,1,0.1767766952966369,0.0,-0.5,0.5,0.5,0.17149994339467625,1.2137192240006425,0.008913952643618923,1.999673379218311,0.11389330989969725,0.722309807916249,0.0659482479095459,3088.912396884899
delta1_delta2_delta3,hybrid,16,1,0.08838834764831845,0.0,-0.5,0.5,0.5,0.08193630678426071,1.0656333291900462,0.002224482286647184,2.002595685982135,0.07738819807445506,0.5574975324734243,0.24902939796447754,12304.977923837529
delta1_delta2_delta3,hybrid,4,2,0.3535533905932738,0.0,-0.5,0.5,0.5,0.09845671563081553,,0.004520067992669818,,0.15135447529124285,,0.01840066909790039,5415.160024634082
delta1_delta2_delta3,hybrid,8,2,0.1767766952966369,0.0,-0.5,0.5,0.5,0.025906927214516484,1.926151704656761,0.0006507092417588566,2.7962595253985465,0.06578044619279587,1.2022006345965528,0.06842875480651855,21603.48285074235
delta1_delta2_delta3,hybrid,16,2,0.08838834764831845,0.0,-0.5,0.5,0.5,0.006608750390997947,1.9708884974899437,8.373090854271692e-05,2.958180859249724,0.025469590745132623,1.3688830160580725,0.29329729080200195,86356.82368262594
delta1_delta2_delta3,hybrid,4,3,0.3535533905932738,0.0,-0.5,0.5,0.5,0.004008691492845745,,0.00030972856942653836,,0.07779634192338844,,0.02319025993347168,19136.31290116459
delta1_delta2_delta3,hybrid,8,3,0.1767766952966369,0.0,-0.5,0.5,0.5,0.0005438520807041134,2.8818451732194488,1.9340881124550592e-05,4.001279036455891,0.015189376104182235,2.356639706468457,0.08757233619689941,76484.17156456017
delta1_delta2_delta3,hybrid,16,3,0.08838834764831845,0.0,-0.5,0.5,0.5,7.473063207988749e-05,2.86344268430858,1.2081910279121148e-06,4.000733038754285,0.002765059648655126,2.4576801049624617,0.33202648162841797,305875.60139829706
delta1_delta2_delta3,hybrid,4,4,0.3535533905932738,0.0,-0.5,0.5,0.5,0.00032621620956530174,,2.5494219444428927e-05,,0.004679227280730889,,0.026409149169921875,54647.992980859286
delta1_delta2_delta3,hybrid,8,4,0.1767766952966369,0.0,-0.5,0.5,0.5,8.312595320793546e-06,5.294385681573965,7.061742034362344e-07,5.17400223710767,0.0005442694612505781,3.1038773110009195,0.10702013969421387,218483.02931375316
delta1_delta2_delta3,hybrid,16,4,0.08838834764831845,0.0,-0.5,0.5,0.5,2.2304642788594012e-07,5.2198830305427135,2.1281579596442495e-08,5.052346978356374,5.326384945353003e-05,3.3530924862373435,0.40997767448425293,873823.1826681371
delta1_delta2_delta3,hybrid,4,5,0.3535533905932738,0.0,-0.5,0.5,0.5,2.6084813200990524e-05,,1.3699262441010734e-06,,0.0002444715755644952,,0.03098011016845703,155924.15523648576
delta1_delta2_delta3,hybrid,8,5,0.1767766952966369,0.0,-0.5,0.5,0.5,6.793103185675032e-07,5.262995523166448,2.2139940692273386e-08,5.95130305384805,6.8451616032174705e-06,5.1584383225843276,0.12246274948120117,623453.978454544
delta1_delta2_delta3,hybrid,16,5,0.08838834764831845,0.0,-0.5,0.5,0.5,1.5483873177216982e-08,5.455232467245924,3.4573937575594826e-10,6.000822627853882,1.6158092267506231e-07,5.404755822559917,0.5128312110900879,2493573.2960254713
